app,variable,scope,required,description
apps/web,NODE_ENV,server,yes,"Node environment; set automatically by Next.js"
apps/web,APP_ENV,server,no,"Custom deployment stage identifier"
apps/web,SUPABASE_URL,server,yes,"Supabase project URL for admin server actions"
apps/web,SUPABASE_SERVICE_ROLE_KEY,server,yes,"Service role key used by admin Supabase client"
apps/web,ADMIN_PANEL_ACTOR,server,no,"Email identifier for default admin actor"
apps/web,ADMIN_PANEL_ORG,server,no,"Fallback organisation id for admin operations"
apps/web,NEXT_PUBLIC_API_BASE_URL,client,no,"Base URL for calling the API from the browser"
apps/web,NEXT_PUBLIC_FEAT_AGENT_SHELL,client,no,"Feature flag toggle (enabled|disabled)"
apps/web,NEXT_PUBLIC_FEAT_VOICE_REALTIME,client,no,"Feature flag toggle for realtime voice"
apps/web,NEXT_PUBLIC_DRIVE_INGESTION_ENABLED,client,no,"Feature flag toggle for drive ingestion"
apps/web,NEXT_PUBLIC_DASHBOARD_RUNS_HIGH,client,no,"Threshold for highlighting high run counts"
apps/web,NEXT_PUBLIC_DASHBOARD_RUNS_MEDIUM,client,no,"Threshold for highlighting medium run counts"
apps/web,NEXT_PUBLIC_EVAL_PASS_GOOD,client,no,"Pass-rate upper threshold"
apps/web,NEXT_PUBLIC_EVAL_PASS_OK,client,no,"Pass-rate medium threshold"
apps/web,NEXT_PUBLIC_EVAL_COVERAGE_GOOD,client,no,"Coverage high threshold"
apps/web,NEXT_PUBLIC_EVAL_COVERAGE_OK,client,no,"Coverage medium threshold"
apps/web,NEXT_PUBLIC_EVAL_MAGHREB_GOOD,client,no,"Regional coverage high threshold"
apps/web,NEXT_PUBLIC_EVAL_MAGHREB_OK,client,no,"Regional coverage medium threshold"
apps/web,NEXT_PUBLIC_TOOL_FAILURE_WARN,client,no,"Warning threshold for tool failure rate"
apps/web,NEXT_PUBLIC_TOOL_FAILURE_CRIT,client,no,"Critical threshold for tool failure rate"

apps/api,NODE_ENV,server,yes,"Node environment; use 'production' in hosted deployments"
apps/api,PORT,server,no,"HTTP listen port (honoured by hosting platform if applicable)"
apps/api,LOG_LEVEL,server,no,"Pino log level"
apps/api,OPENAI_API_KEY,server,yes,"OpenAI API key"
apps/api,OPENAI_BASE_URL,server,no,"Override for OpenAI API base URL"
apps/api,OPENAI_ORG_ID,server,no,"OpenAI organisation id"
apps/api,OPENAI_PROJECT_ID,server,no,"OpenAI project id"
apps/api,OPENAI_WEBHOOK_SECRET,server,no,"Webhook signing secret"
apps/api,OPENAI_REQUEST_TAGS,server,no,"Default observability tags"
apps/api,OPENAI_REQUEST_TAGS_API,server,no,"Override tags for API workers"
apps/api,OPENAI_REQUEST_TAGS_CHATKIT,server,no,"Override tags for chatkit routes"
apps/api,OPENAI_REQUEST_TAGS_SUMMARIES,server,no,"Override tags for summarisation"
apps/api,AGENT_MODEL,server,no,"Default reasoning model"
apps/api,EMBEDDING_MODEL,server,no,"Default embedding model"
apps/api,SUMMARISER_MODEL,server,no,"Optional summarisation model"
apps/api,MAX_SUMMARY_CHARS,server,no,"Summarisation character limit"
apps/api,OPENAI_VECTOR_STORE_AUTHORITIES_ID,server,yes,"Vector store id for authorities corpus"
apps/api,OPENAI_CHATKIT_PROJECT,server,no,"Chatkit project id"
apps/api,OPENAI_CHATKIT_SECRET,server,no,"Chatkit secret"
apps/api,OPENAI_CHATKIT_BASE_URL,server,no,"Chatkit API base URL"
apps/api,OPENAI_CHATKIT_MODEL,server,no,"Chatkit model override"
apps/api,SUPABASE_URL,server,yes,"Supabase project URL"
apps/api,SUPABASE_SERVICE_ROLE_KEY,server,yes,"Supabase service role key"
apps/api,JURIS_ALLOWLIST_JSON,server,no,"JSON array of enabled jurisdictions"
apps/api,AGENT_STUB_MODE,server,no,"Stub mode for agent responses"
apps/api,WA_TOKEN,server,no,"WhatsApp access token"
apps/api,WA_PHONE_NUMBER_ID,server,no,"WhatsApp phone number id"
apps/api,WA_TEMPLATE_OTP_NAME,server,no,"WhatsApp OTP template name"
apps/api,WA_TEMPLATE_LOCALE,server,no,"WhatsApp template locale"
apps/api,WA_PROVIDER,server,no,"WhatsApp provider selection"
apps/api,C2PA_SIGNING_PRIVATE_KEY,server,no,"PEM encoded signing key"
apps/api,C2PA_SIGNING_KEY_ID,server,no,"Identifier for signing key"
apps/api,POLICY_VERSION,server,no,"Policy version tag"
apps/api,VITEST,server,no,"Set to 'true' in Vitest environment"

apps/ops,NODE_ENV,server,yes,"Node environment for workers"
apps/ops,OPENAI_API_KEY,server,yes,"OpenAI API key"
apps/ops,OPENAI_BASE_URL,server,no,"Override for OpenAI base URL"
apps/ops,OPENAI_VECTOR_STORE_AUTHORITIES_ID,server,no,"Vector store id"
apps/ops,OPENAI_REQUEST_TAGS,server,no,"Default observability tags"
apps/ops,OPENAI_REQUEST_TAGS_OPS,server,no,"Override tags for ops workers"
apps/ops,OPS_CHECK_DRY_RUN,server,no,"Force dry-run for safety checks"
apps/ops,VECTOR_STORE_DRY_RUN,server,no,"Disable write operations on vector store"
apps/ops,API_BASE_URL,server,no,"Base URL for calling hosted API"
apps/ops,SUPABASE_URL,server,yes,"Supabase project URL"
apps/ops,SUPABASE_SERVICE_ROLE_KEY,server,yes,"Supabase service role key"
apps/ops,SUPABASE_MANAGEMENT_API_URL,server,no,"Supabase management API base URL"
apps/ops,SUPABASE_ACCESS_TOKEN,server,no,"Supabase management token"
apps/ops,OPS_ORG_ID,server,no,"Default organisation id"
apps/ops,EVAL_ORG_ID,server,no,"Evaluation default organisation"
apps/ops,EVAL_USER_ID,server,no,"Evaluation default user"
apps/ops,EVAL_BENCHMARK,server,no,"Evaluation benchmark key"
apps/ops,TRANSPARENCY_ORG_ID,server,no,"Transparency report organisation"
apps/ops,TRANSPARENCY_USER_ID,server,no,"Transparency report user"
apps/ops,SLO_ORG_ID,server,no,"SLO report organisation"
apps/ops,SLO_USER_ID,server,no,"SLO report user"
apps/ops,DISPATCH_ORG_ID,server,no,"Regulator digest organisation"
apps/ops,DISPATCH_USER_ID,server,no,"Regulator digest user"
apps/ops,LEARNING_ORG_ID,server,no,"Learning worker organisation"
apps/ops,PERF_ORG_ID,server,no,"Performance snapshot organisation"
apps/ops,PERF_USER_ID,server,no,"Performance snapshot user"
apps/ops,PERF_WINDOW,server,no,"Performance snapshot window label"
apps/ops,RED_TEAM_ORG_ID,server,no,"Red-team organisation"
apps/ops,RED_TEAM_USER_ID,server,no,"Red-team user"

shared,SUPABASE_URL,server,yes,"Database seeding scripts"
shared,SUPABASE_SERVICE_ROLE_KEY,server,yes,"Database seeding scripts"
